POI_Name,Location_Type,Store_Lat,Store_Lng,Vicinity
Ono Hawaiian BBQ,POI,33.376046,-112.029277,"2415 East Baseline Road #121, Phoenix"
Panda Express,POI,33.376046,-112.029277,"2434 East Baseline Road #101, Phoenix"
Jersey Mike's Subs,POI,33.376046,-112.029277,"2415 East Baseline Road, Phoenix"
Applebee's,POI,33.376046,-112.029277,"2180 East Baseline Road, Phoenix"
Rosati's Pizza,POI,33.376046,-112.029277,"2320 East Baseline Road, Phoenix"
Smashburger,POI,33.376046,-112.029277,"2415 East Baseline Road, Phoenix"
Cold Stone Creamery,POI,33.376046,-112.029277,"2170 East Baseline Road #136, Phoenix"
Jack in the Box,POI,33.376046,-112.029277,"2330 East Baseline Road, Phoenix"
Taco Bell,POI,33.376046,-112.029277,"2465 East Baseline Road, Phoenix"
GreenMix,POI,33.376046,-112.029277,"2160 East Baseline Road #128, Phoenix"
Valley Subs of Arizona,POI,33.376046,-112.029277,"2415 East Baseline Road, Phoenix"
Five Guys,POI,33.376046,-112.029277,"2340 East Baseline Road, Phoenix"
Wingstop,POI,33.376046,-112.029277,"2320 East Baseline Road Ste 152, Phoenix"
Barro's Pizza,POI,33.376046,-112.029277,"2485 East Baseline Road #158, Phoenix"
Fired Pie,POI,33.376046,-112.029277,"2170 East Baseline Road, Phoenix"
Starbucks,POI,33.376046,-112.029277,"2340 East Baseline Road #166, Phoenix"
Fry's Food And Drug,POI,33.376046,-112.029277,"2250 East Baseline Road, Phoenix"
Cold Stone Creamery,POI,33.376046,-112.029277,"2170 East Baseline Road #136, Phoenix"
Best Donuts,POI,33.376046,-112.029277,"2320 East Baseline Road #162, Phoenix"
Walmart Pharmacy,POI,33.376046,-112.029277,"2435 East Baseline Road, Phoenix"
"Lamontae J. Guynn, PharmD",POI,33.376046,-112.029277,"2420 East Baseline Road, Phoenix, AZ 85042"
"Rob Logsdon, RPh",POI,33.376046,-112.029277,"2250 East Baseline Road, Phoenix"
"Laura E. Meshberger, Laura",POI,33.376046,-112.029277,"2420 East Baseline Road, Phoenix"
Walgreens Pharmacy,POI,33.376046,-112.029277,"2420 East Baseline Road, Phoenix"
Fry's Pharmacy,POI,33.376046,-112.029277,"2250 East Baseline Road, Phoenix"
Chase Bank,POI,33.376046,-112.029277,"2440 East Baseline Road, Phoenix"
Wells Fargo Bank,POI,33.376046,-112.029277,"2250 East Baseline Road, Phoenix"
Chase Bank,POI,33.376046,-112.029277,"2440 East Baseline Road, Phoenix"
Bank of America ATM,POI,33.376046,-112.029277,"2350 East Baseline Road, Phoenix"
Wells Fargo Bank,POI,33.376046,-112.029277,"2250 East Baseline Road, Phoenix"
Chase ATM,POI,33.376046,-112.029277,"2420 East Baseline Road, Phoenix"
ATM (Wells Fargo Bank),POI,33.376046,-112.029277,"2250 East Baseline Road, Phoenix"
ATM (Wells Fargo Bank),POI,33.376046,-112.029277,"2250 East Baseline Road, Phoenix"
ATM,POI,33.376046,-112.029277,"2440 East Baseline Road, Phoenix"
Corner Store,POI,33.376046,-112.029277,"2350 East Baseline Road, Phoenix"
Fry's Fuel Center,POI,33.376046,-112.029277,"2246 East Baseline Road, Phoenix"
Diamond Shamrock,POI,33.376046,-112.029277,United States
Applebee's,POI,33.376046,-112.029277,"2180 East Baseline Road, Phoenix"
Subway,POI,33.507771,-111.889315,"4915 North Pima Road, Scottsdale"
Wendy's,POI,33.507771,-111.889315,"4815 North Pima Road, Scottsdale"
Auntie Anne's Pretzels,POI,33.507771,-111.889315,"4915 North Pima Road, Scottsdale"
Auntie Anne's Pretzels,POI,33.507771,-111.889315,"4915 North Pima Road, Scottsdale"
Auntie Anne's Pretzels,POI,33.507771,-111.889315,"4915 North Pima Road, Scottsdale"
Walmart Pharmacy,POI,33.507771,-111.889315,"4915 North Pima Road, Scottsdale"
Chevron,POI,33.507771,-111.889315,"8823 East Chaparral Road, Scottsdale"
Subway,POI,33.380761,-111.83672,"240 West Baseline Road, Mesa"
Waffle House,POI,33.380761,-111.83672,"1831 South Country Club Drive, Mesa"
Jimmy John's,POI,33.380761,-111.83672,"350 West Baseline Road #106, Mesa"
Culver's,POI,33.380761,-111.83672,"1909 South Country Club Drive, Mesa"
Del Taco,POI,33.380761,-111.83672,"1864 South Country Club Drive, Mesa"
Schlotzsky's,POI,33.380761,-111.83672,"408 West Juanita Avenue, Mesa"
Panda Express,POI,33.380761,-111.83672,"342 E Baseline Rd, Mesa"
McDonald's,POI,33.380761,-111.83672,"146 West Baseline Road, Mesa"
Carl's Jr.,POI,33.380761,-111.83672,"1850 South Country Club Drive, Mesa"
Mesquite Grill & Sports Bar,POI,33.380761,-111.83672,"75 West Baseline Road #12, Gilbert"
Starbucks,POI,33.380761,-111.83672,"1821 South Country Club Drive, Mesa"
Schlotzsky's,POI,33.380761,-111.83672,"408 West Juanita Avenue, Mesa"
